t1_name,t1_rank,t1_form_wins,t1_form_losses,t1_h2h_wins,t2_name,t2_rank,t2_form_wins,t2_form_losses,t2_h2h_wins,h2h_ot,t1_score,t2_score,outcome
GamerLegion,43,15,14,1,SKADE,22,35,18,4,1,2,1,1
SAW,61,12,15,4,DBL PONEY,30,22,11,0,0,2,1,1
Apeks,62,15,18,0,Sangal,68,8,5,2,0,2,0,1
BIG Academy,102,9,9,1,NAVI Junior,100,10,11,1,0,0,2,0
LDLC,34,17,15,2,Movistar Riders,42,16,9,2,0,0,2,0
Nemiga,56,11,9,2,1WIN,27,22,9,1,1,2,0,1
NLG,115,3,4,0,Izako Boars,63,11,6,0,0,2,0,1
Eternal Fire,66,11,8,2,DREAM UA,0,1,1,0,0,2,0,1
Akuma,47,13,10,0,BLINK,49,12,5,0,0,0,2,0
Fiend,31,21,14,2,4glory,122,7,7,0,0,2,1,1
Finest,79,10,8,0,MAD Lions,41,23,4,0,0,2,1,1
AGO,25,25,13,0,Copenhagen Flames,24,30,13,3,0,1,2,0
cowana,76,6,3,0,AVE,75,11,7,0,0,0,2,0
Unique,72,6,5,4,K23,32,13,10,13,1,0,2,0
Young Ninjas,48,29,19,2,Astralis Talent,176,4,12,0,0,2,0,1
Entropiq,19,18,13,2,Eternal Fire,66,11,7,1,0,2,0,1
Anonymo,73,6,8,0,LDLC,34,17,14,0,0,2,1,1
Sampi,278,0,4,0,DREAM UA,0,0,1,0,0,0,2,0
8Ballers,207,4,6,0,Sylyx,167,1,0,0,0,0,2,0
domilk,269,1,5,0,Lese,255,1,6,2,0,1,2,0
ORDER,80,10,3,8,Paradox,134,8,7,1,1,1,0,1
Renegades,23,11,4,0,Bandits,234,2,6,0,0,1,0,1
Dignitas,33,12,5,0,Young Ninjas,48,30,19,0,0,0,1,0
FURY,227,4,7,0,Kanga,202,5,7,0,0,2,0,1
Nebula,253,0,1,0,Lese,255,1,6,0,0,2,1,1
Ground Zero,151,8,9,0,Alke,223,5,6,0,0,1,0,1
LookingForOrg,60,7,1,0,Caught off Guard,265,2,9,0,0,1,0,1
Extra Salt,26,19,4,5,Triumph,69,19,13,2,0,2,1,1
RBG,65,18,15,11,Third Impact,117,7,20,2,0,2,0,1
Strife,120,3,6,0,ChocoCheck,97,5,4,0,0,0,2,0
GODSENT,37,8,4,0,Levitate,119,4,5,0,0,2,0,1
Havan Liberty,70,23,8,13,9z,50,28,5,8,4,1,2,0
Extra Salt,26,18,4,2,GGPR,113,4,5,0,0,2,0,1
paiN,35,12,3,0,Strife,120,3,5,0,0,2,0,1
Wisla Krakow,58,13,13,0,Fiend,31,21,13,0,0,2,1,1
Fantastic Seven,191,1,2,0,Coalesce,98,6,6,0,0,2,0,1
EC Kyiv,110,9,15,0,MASONIC,132,5,7,0,0,2,1,1
Trasko,57,18,8,0,Unique,72,5,5,0,0,0,2,0
SKADE,22,34,18,8,DBL PONEY,30,22,10,3,0,2,0,1
Eternal Fire,66,10,7,0,DREAM UA,0,0,0,0,0,2,0,1
Lilmix,203,3,6,0,HONORIS,153,3,4,2,0,0,2,0
Budapest Five,131,5,7,0,eSuba,136,2,6,0,0,1,2,0
Unique,62,4,5,1,Spirit Academy,83,12,10,4,0,2,0,1
HAVU,34,13,13,2,Apeks,54,15,17,1,0,2,0,1
Entropiq,19,17,13,0,Sampi,285,0,3,0,0,2,0,1
Trasko,55,17,8,0,benched,0,1,1,0,0,2,0,1
CAMO,246,2,4,0,Kanga,215,4,7,0,0,0,2,0
Hazard,233,0,2,0,Ground Zero,174,7,9,0,0,0,2,0
ORDER,95,10,3,1,FURY,247,4,7,0,0,1,0,1
lol123,109,7,4,2,Kanga,215,4,7,0,0,0,1,0
Extra Salt,25,18,3,6,GODSENT,74,7,4,3,2,2,3,0
Synergy Reborn,0,0,0,0,Northern Forces,224,2,1,0,0,0,2,0
9z,65,27,5,0,Ceará,183,6,7,0,0,2,1,1
RBG,64,17,15,1,Verum,94,8,3,0,0,2,0,1
ATK,101,5,4,0,Synthetic,0,0,0,0,0,2,0,1
Detonate,107,2,2,0,Valors,0,0,0,0,0,2,0,1
Bad News Bears,43,15,11,11,Party Astronauts,48,25,11,3,1,2,1,1
Northern Forces,224,1,1,0,Touch Point,206,2,3,0,0,2,0,1
RBG,64,16,15,0,Eros,116,5,9,0,0,2,0,1
Coalesce,115,5,6,0,Tricked,140,4,9,0,0,2,1,1
Touch Point,206,2,2,0,Party Astronauts,48,24,11,0,0,0,2,0
9z,65,27,4,4,Sharks,73,15,9,2,0,2,3,0
Natus Vincere,1,20,3,16,FaZe,6,13,6,6,2,2,0,1
NLG,208,2,4,0,SJ,180,3,7,0,0,2,1,1
Unique,62,3,5,0,OFFSET,126,4,9,0,0,2,0,1
forZe,14,16,5,0,Marten,142,2,3,0,0,2,0,1
PACT,71,12,14,0,MASONIC,155,4,7,0,0,1,2,0
DNMK,325,1,2,3,Bravado,221,4,2,7,0,1,3,0
Bad News Bears,43,15,11,0,Northern Forces,224,1,1,0,0,1,0,1
Izako Boars,56,10,6,0,AURA,72,8,4,1,1,2,1,1
MAD Lions,39,22,4,0,INDE IRAE,78,10,5,0,0,2,0,1
Endpoint,26,17,10,1,Movistar Riders,45,16,8,0,1,2,0,1
Anonymo,66,5,8,3,Wisla Krakow,61,13,12,3,1,2,0,1
Sestri,0,1,1,2,EC Kyiv,137,9,14,2,1,2,0,1
Bravos,51,37,15,1,Ceará,183,6,7,0,0,0,1,0
NAVI Junior,98,10,10,0,AVE,90,10,7,0,0,0,2,0
Complexity,16,9,7,6,FaZe,6,12,6,3,2,1,2,0
Finest,88,10,7,0,INDE IRAE,78,9,5,0,0,1,2,0
EC Kyiv,137,8,14,4,Trasko,55,17,7,5,1,2,0,1
MAD Lions,39,21,4,0,VP.Prodigy,165,6,19,0,0,2,0,1
AGO,27,25,12,1,Lyngby Vikings,41,23,12,2,1,0,2,0
LookingForOrg,85,7,0,15,Renegades,23,10,4,30,6,1,3,0
Trasko,55,16,7,0,SpeedRunners,0,0,0,0,0,2,1,1
GODSENT,74,6,4,7,TeamOne,69,3,12,0,0,2,1,1
Meta BR,141,4,3,0,Nocturns,271,1,5,0,0,16,10,1
Isurus,124,13,10,0,Eqole,0,0,0,0,0,16,5,1
River Plate,144,14,8,3,Malvinas,230,4,7,2,1,16,7,1
Ceará,183,5,7,0,INTZ,122,11,15,0,0,2,0,1
paiN,42,12,2,6,Extra Salt,25,17,3,20,3,1,2,0
Triumph,63,19,12,0,Touch Point,206,1,2,0,0,13,16,0
Now you know,0,0,0,0,Bad News Bears,43,14,11,0,0,13,16,0
Coscu Army,198,9,10,0,PAMPAS,249,0,0,1,0,16,10,1
OG,9,7,4,5,FaZe,6,11,6,8,2,1,2,0
Northern Forces,224,0,1,0,Uptime United,0,0,0,0,0,16,11,1
